#Organism Name,Organism Groups,Strain,BioSample,BioProject,Size(Mb),GC%,Type,Replicons,CDS,Release Date
"Abrostola tripartita","Eukaryota;Animals;Insects","","SAMEA7520667","PRJEB43728",0.015302,19.8601,"mitochondrion","MT:HG996517.1",0,"2021-03-19T00:00:00Z"
"Abrostola triplasia","Eukaryota;Animals;Insects","","SAMEA10979163","PRJEB55438",0.015337,19.3193,"mitochondrion","MT:OX276451.1",0,"2022-08-23T00:00:00Z"
"Acanthaster planci","Eukaryota;Animals;Other Animals","","","PRJNA397419",0.016234,43.6615,"mitochondrion","MT:NC_007788.1/",13,"2006-02-08T00:00:00Z"
"Acanthisitta chloris","Eukaryota;Animals;Birds","bAcaChl1","SAMN16442762","PRJNA561954",0.019029,46.1821,"mitochondrion","MT:CM029221.1",0,"2021-02-17T00:00:00Z"
"Acanthochromis polyacanthus","Eukaryota;Animals;Fishes","Apoly-LR-REF","SAMN16534234","PRJNA888054",0.016642,46.7312,"mitochondrion","MT:CM038078.1",0,"2022-01-11T00:00:00Z"
"Acanthosoma haemorrhoidale","Eukaryota;Animals;Insects","","SAMEA8563710","PRJEB50843",0.018923,24.2245,"mitochondrion","MT:OV884016.1",0,"2022-02-12T00:00:00Z"
"Accipiter gentilis","Eukaryota;Animals;Birds","","SAMEA8235650","PRJNA862859",0.016558,44.1962,"mitochondrion","MT:OV839400.1",0,"2022-02-09T00:00:00Z"
"Acentria ephemerella","Eukaryota;Animals;Insects","","SAMEA10978991","PRJEB53002",0.01535,20.013,"mitochondrion","MT:OW971905.1",0,"2022-05-21T00:00:00Z"
"Achlya flavicornis","Eukaryota;Animals;Insects","","","PRJEB58322",0.015337,19.1693,"mitochondrion","MT:OX392497.1",0,"2022-12-18T00:00:00Z"
"Acholoe squamosa","Eukaryota;Animals;Other Animals","","SAMEA13854387","PRJEB60118",0.015641,33.636,"mitochondrion","MT:OX439053.1",0,"2023-02-24T00:00:00Z"
"Acinonyx jubatus","Eukaryota;Animals;Mammals","Ajub_Pintada_27869175","SAMN29432198","PRJNA923316",0.016986,39.3501,"mitochondrion","MT:CM050222.1",0,"2022-12-28T00:00:00Z"
"Acipenser ruthenus","Eukaryota;Animals;Fishes","","SAMEA5572864","PRJEB35912",0.016488,45.518,"mitochondrion","MT:OV754669.1",0,"2022-01-29T00:00:00Z"
"Acipenser ruthenus","Eukaryota;Animals;Fishes","Gen_M01","","PRJNA635364",0.01679,45.2412,"mitochondrion","MT:NC_022453.1/",13,"2013-09-26T00:00:00Z"
"Acipenser schrenckii x Acipenser baerii","Eukaryota;Animals;Fishes","","","PRJNA744337",0.016867,45.2481,"mitochondrion","OK094491.1",13,"2022-05-23T00:00:00Z"
"Acleris cristana","Eukaryota;Animals;Insects","","SAMEA8603216","PRJEB58976",0.016148,18.8382,"mitochondrion","MT:OX411802.1",0,"2023-01-15T00:00:00Z"
"Acleris emargana","Eukaryota;Animals;Insects","","SAMEA7746613","PRJEB49998",0.016338,19.3781,"mitochondrion","MT:OV656865.2",0,"2022-01-21T00:00:00Z"
"Acleris holmiana","Eukaryota;Animals;Insects","","SAMEA7701499","PRJEB60125",0.016283,18.8049,"mitochondrion","MT:OX438793.1",0,"2023-02-23T00:00:00Z"
"Acleris literana","Eukaryota;Animals;Insects","","SAMEA10978974","PRJEB56016",0.016355,18.4836,"mitochondrion","MT:OX335698.1",0,"2022-09-15T00:00:00Z"
